GEO.id,GEO.id2,GEO.display-label,HC03_VC161
Id,Id2,Geography,Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families
1600000US0600135,600135,"Acalanes Ridge CDP, California",0
1600000US0600156,600156,"Acampo CDP, California",0
1600000US0600212,600212,"Acton CDP, California",2.7
1600000US0600296,600296,"Adelanto city, California",33.8
1600000US0600310,600310,"Adin CDP, California",18.4
1600000US0600394,600394,"Agoura Hills city, California",5.7
1600000US0600450,600450,"Agua Dulce CDP, California",5.9
1600000US0600464,600464,"Aguanga CDP, California",0
1600000US0600478,600478,"Ahwahnee CDP, California",8.8
1600000US0600535,600535,"Airport CDP, California",27.7
1600000US0600562,600562,"Alameda city, California",6.9
1600000US0600618,600618,"Alamo CDP, California",1.3
1600000US0600674,600674,"Albany city, California",7.4
1600000US0600716,600716,"Albion CDP, California",0
1600000US0600786,600786,"Alderpoint CDP, California",0
1600000US0600884,600884,"Alhambra city, California",12.4
1600000US0600898,600898,"Alhambra Valley CDP, California",0
1600000US0600947,600947,"Aliso Viejo city, California",3.5
1600000US0600982,600982,"Alleghany CDP, California",-
1600000US0600996,600996,"Allendale CDP, California",0
1600000US0601010,601010,"Allensworth CDP, California",43
1600000US0601094,601094,"Almanor CDP, California",-
1600000US0601150,601150,"Alondra Park CDP, California",15.4
1600000US0601164,601164,"Alpaugh CDP, California",35.8
1600000US0601192,601192,"Alpine CDP, California",5.3
1600000US0601228,601228,"Alpine Village CDP, California",0
1600000US0601276,601276,"Alta CDP, California",12.1
1600000US0601290,601290,"Altadena CDP, California",7.3
1600000US0601360,601360,"Alta Sierra CDP, California",1.1
1600000US0601416,601416,"Alto CDP, California",0
1600000US0601444,601444,"Alturas city, California",4.2
1600000US0601458,601458,"Alum Rock CDP, California",7.2
1600000US0601514,601514,"Amador City city, California",0
1600000US0601640,601640,"American Canyon city, California",6.9
1600000US0601651,601651,"Amesti CDP, California",10.8
1600000US0602000,602000,"Anaheim city, California",12.9
1600000US0602028,602028,"Anchor Bay CDP, California",0
1600000US0602042,602042,"Anderson city, California",15.1
1600000US0602112,602112,"Angels city, California",12.1
1600000US0602168,602168,"Angwin CDP, California",4.2
1600000US0602210,602210,"Antelope CDP, California",12.1
1600000US0602252,602252,"Antioch city, California",12.2
1600000US0602294,602294,"Anza CDP, California",11.5
1600000US0602364,602364,"Apple Valley town, California",14.8
1600000US0602378,602378,"Aptos CDP, California",2.6
1600000US0602382,602382,"Aptos Hills-Larkin Valley CDP, California",5.5
1600000US0602420,602420,"Arbuckle CDP, California",11.6
1600000US0602462,602462,"Arcadia city, California",7.7
1600000US0602476,602476,"Arcata city, California",15.5
1600000US0602553,602553,"Arden-Arcade CDP, California",17
1600000US0602700,602700,"Armona CDP, California",14.7
1600000US0602770,602770,"Arnold CDP, California",2.7
1600000US0602812,602812,"Aromas CDP, California",6.8
1600000US0602868,602868,"Arroyo Grande city, California",3.5
1600000US0602896,602896,"Artesia city, California",8.3
1600000US0602910,602910,"Artois CDP, California",0
1600000US0602924,602924,"Arvin city, California",26.9
1600000US0602980,602980,"Ashland CDP, California",17.5
1600000US0603026,603026,"Aspen Springs CDP, California",0
1600000US0603064,603064,"Atascadero city, California",5.1
1600000US0603092,603092,"Atherton town, California",2.1
1600000US0603162,603162,"Atwater city, California",19.4
1600000US0603190,603190,"Auberry CDP, California",10.5
1600000US0603204,603204,"Auburn city, California",8.2
