County,pol1,Population Estimate 2017,pol2,pol3,pol4,pol5,pol6,pol7,pol8,pol9,pol9a,pol11,pol12,ppol11,ppol12,ppol13,ppol14,ppol15,ppol15a,ppol21,ppol22,ppol23,ppol24,ppol25,ppol25a,ppol31,ppol32,ppol33,ppol34,ppol35,ppol35a,ppol41,ppol42,ppol43,ppol44,ppol45,ppol45a
Alameda,Alameda,"79,177",1,1,15255,,2,1/18/2017,1/18/2017,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Alameda,Albany,"20,143",1,1,2017-9,,2,4/17/2017,4/17/2017,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Alameda,Berkeley,"122,324",1,1,,,2,6/25/2017,6/25/2017,1,,,,1,1,11/29/2016,11/29/2016,,,1,1,5/22/2007,5/22/2007,1,,1,1,1986,1986,1,,1,1,1971,1971,1,
Alameda,Dublin,"60,939",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Alameda,Emeryville,"11,758",1,1,17-08,,2,1/17/2017,1/17/2017,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Alameda,Fremont,"234,962",1,1,2017-06,,2,3/7/2017,1/17/2017,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Alameda,Hayward,"160,500",1,1,,,2,6/6/2017,6/6/2017,3,Administrative Rule,,,0,,,,,,,,,,,,,,,,,,,,,,,
Alameda,Livermore,"90,295",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Alameda,Newark,"47,531",1,1,"10,598",,2,2/23/2017,2/23/2017,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Alameda,Oakland,"425,195",1,1,87036,,2,1/18/2018,1/18/2018,1,,0,,1,1,11/22/2016,11/22/2016,1,,1,1,7/8/1986,7/8/1986,1,,,,,,,,,,,,,
Alameda,Piedmont,"11,378",1,1,42-18,,2,6/4/2018,6/4/2018,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Alameda,Pleasanton,"83,007",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Alameda,San Leandro,"90,553",1,1,2017-023,,2,2/21/2017,2/21/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Alameda,Union City,"75,343",1,1,5069-17,,2,5/9/2017,5/9/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Amador,Amador City,190,0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Amador,Ione,"7,827",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Amador,Jackson,"4,740",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Amador,Plymouth,993,0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Amador,Sutter Creek,"2,575",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Butte ,Biggs,"1,711",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Butte ,Chico,"93,293",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Butte ,Gridley,"6,608",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Butte ,Oroville,"19,121",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Butte ,Paradise,"26,682",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Calaveras ,Angels Camp,"3,807",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Colusa,Colusa,"5,963",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Colusa,Williams,"5,349",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,Antioch,"111,674",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
