County,pol1,pol2
Alameda,Alameda,1
Alameda,Albany,1
Alameda,Berkeley,1
Alameda,Dublin,0
Alameda,Emeryville,1
Alameda,Fremont,1
Alameda,Hayward,1
Alameda,Livermore,0
Alameda,Newark,1
Alameda,Oakland,1
Alameda,Piedmont,1
Alameda,Pleasanton,0
Alameda,San Leandro,1
Alameda,Union City,1
Amador,Amador City,0
Amador,Ione,0
Amador,Jackson,0
Amador,Plymouth,0
Amador,Sutter Creek,0
Butte ,Biggs,0
Butte ,Chico,0
Butte ,Gridley,0
Butte ,Oroville,0
Butte ,Paradise,0
Calaveras ,Angels Camp,0
Colusa,Colusa,0
Colusa,Williams,0
Contra Costa,Antioch,0
Contra Costa,Brentwood,0
Contra Costa,Clayton,0
Contra Costa,Concord,1
Contra Costa,Danville,0
Contra Costa,El Cerrito,1
Contra Costa,Hercules,0
Contra Costa,Lafayette,0
Contra Costa,Martinez,1
Contra Costa,Moraga,0
Contra Costa,Oakley,0
Contra Costa,Orinda,0
Contra Costa,Pinole,0
Contra Costa,Pittsburg,0
Contra Costa,Pleasant Hill,1
Contra Costa,Richmond,1
Contra Costa,San Pablo,1
Contra Costa,San Ramon,0
Contra Costa,Walnut Creek,0
Del Norte,Crescent City,0
El Dorado,Placerville,0
El Dorado,South Lake Tahoe,0
Fresno,Clovis,0
Fresno,Coalinga,0
Fresno,Firebaugh,0
Fresno,Fowler,0
Fresno,Fresno,0
Fresno,Huron,0
Fresno,Kerman,0
Fresno,Kingsburg,0
Fresno,Mendota,0
Fresno,Orange Cove,0
Fresno,Parlier,0
Fresno,Reedley,0
Fresno,Sanger,0
Fresno,San Joaquin,0
Fresno,Selma,1
Glenn,Orland,0
Glenn,Willows,1
Humboldt,Arcata,1
Humboldt,Blue Lake,0
Humboldt,Eureka,0
Humboldt,Ferndale,0
Humboldt,Fortuna,0
Humboldt,Rio Dell,0
Humboldt,Trinidad,0
Imperial ,Brawley,0
Imperial ,Calexico,0
Imperial ,Calipatria,0
Imperial ,El Centro,0
Imperial ,Holtville,0
Imperial ,Imperial,1
Imperial ,Westmorland,0
Inyo,Bishop,0
Kern,Arvin,0
Kern,Bakersfield,0
Kern,California City,1
Kern,Delano,0
Kern,Maricopa,0
Kern,McFarland,0
Kern,Ridgecrest,1
Kern,Shafter,0
Kern,Taft,0
Kern,Tehachapi,1
Kern,Wasco,0
Kings,Avenal,0
Kings,Corcoran,0
Kings,Hanford,1
Kings,Lemoore,0
Lake,Clearlake,0
Lake,Lakeport,0
Lassen,Susanville,0
Los Angeles,Agoura Hills,0
Los Angeles,Alhambra,0
Los Angeles,Arcadia,0
Los Angeles,Artesia,0
Los Angeles,Avalon,0
Los Angeles,Azusa,0
Los Angeles,Baldwin Park,1
Los Angeles,Bell,0
Los Angeles,Bellflower,0
Los Angeles,Bell Gardens,0
Los Angeles,Beverly Hills,0
Los Angeles,Bradbury,0
Los Angeles,Burbank,0
Los Angeles,Calabasas,0
Los Angeles,Carson,0
Los Angeles,Cerritos,0
Los Angeles,Claremont,1
Los Angeles,Commerce,0
Los Angeles,Compton,0
Los Angeles,Covina,0
Los Angeles,Cudahy,1
Los Angeles,Culver City,1
Los Angeles,Diamond Bar,0
Los Angeles,Downey,0
Los Angeles,Duarte,0
Los Angeles,El Monte,0
Los Angeles,El Segundo,0
Los Angeles,Gardena,0
Los Angeles,Glendale,1
Los Angeles,Glendora,0
Los Angeles,Hawaiian Gardens,0
Los Angeles,Hawthorne,0
Los Angeles,Hermosa Beach,0
Los Angeles,Hidden Hills,0
Los Angeles,Huntington Park,0
Los Angeles,Industry,0
Los Angeles,Inglewood,0
Los Angeles,Irwindale,0
Los Angeles,La Canada Flintridge,0
Los Angeles,La Habra Heights,0
Los Angeles,Lakewood,0
Los Angeles,La Mirada,0
Los Angeles,Lancaster,1
Los Angeles,La Puente,1
Los Angeles,La Verne,0
Los Angeles,Lawndale,0
Los Angeles,Lomita,0
Los Angeles,Long Beach,1
Los Angeles,Los Angeles,1
