GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
1620000US0600296,0600296,"Adelanto city, California",31765,31760,31667,31891,31139,31273,32602,33052,33343,34066
1620000US0600394,0600394,"Agoura Hills city, California",20330,20330,20335,20492,20585,20643,20713,20819,20755,20692
1620000US0600562,0600562,"Alameda city, California",73812,73812,73968,74750,75775,76640,77688,78583,79199,79177
1620000US0600674,0600674,"Albany city, California",18539,18541,18570,18763,19020,19255,19509,19722,19767,20143
1620000US0600884,0600884,"Alhambra city, California",83089,83117,83180,83685,84309,84570,85074,85173,85615,85396
1620000US0600947,0600947,"Aliso Viejo city, California",47823,48098,48237,48951,49570,50096,50120,50096,51490,51671
1620000US0601444,0601444,"Alturas city, California",2827,2827,2832,2771,2718,2653,2638,2620,2580,2540
1620000US0601514,0601514,"Amador City city, California",185,182,182,182,181,180,182,186,188,190
1620000US0601640,0601640,"American Canyon city, California",19454,19542,19620,19858,20054,20282,20368,20422,20402,20247
1620000US0602000,0602000,"Anaheim city, California",336265,336440,337177,340511,343102,345019,345959,349732,351661,352497
1620000US0602042,0602042,"Anderson city, California",9932,9932,9940,9991,10029,10092,10162,10156,10173,10370
1620000US0602112,0602112,"Angels city, California",3836,3810,3801,3770,3743,3729,3730,3750,3775,3807
1620000US0602252,0602252,"Antioch city, California",102372,102745,103106,104266,105714,107538,109278,110464,111224,111674
1620000US0602364,0602364,"Apple Valley town, California",69135,69139,69313,70069,70480,70832,71298,71921,72426,73077
1620000US0602462,0602462,"Arcadia city, California",56364,56359,56392,56713,56985,57433,57768,58121,58570,58799
1620000US0602476,0602476,"Arcata city, California",17231,17231,17500,17728,17697,17687,17703,17783,17943,18000
1620000US0602868,0602868,"Arroyo Grande city, California",17252,17279,17298,17367,17542,17720,17884,18053,18088,18123
1620000US0602896,0602896,"Artesia city, California",16522,16522,16523,16589,16667,16724,16808,16895,16895,16904
1620000US0602924,0602924,"Arvin city, California",19304,19304,19349,19697,20099,20310,20564,20828,21104,21270
1620000US0603064,0603064,"Atascadero city, California",28310,28304,28412,28591,28735,29016,29359,29940,30228,30418
1620000US0603092,0603092,"Atherton town, California",6914,6920,6918,6957,7037,7103,7146,7180,7252,7238
1620000US0603162,0603162,"Atwater city, California",28168,28172,28249,28519,28637,28746,28912,29119,29291,29397
1620000US0603204,0603204,"Auburn city, California",13330,13305,13339,13518,13615,13827,13889,13885,13936,13997
1620000US0603274,0603274,"Avalon city, California",3728,3728,3729,3746,3762,3772,3781,3783,3774,3764
1620000US0603302,0603302,"Avenal city, California",15505,15505,15281,15104,14871,14159,13283,13265,12468,12440
1620000US0603386,0603386,"Azusa city, California",46361,46346,46318,46543,47228,47784,48488,49460,49673,49864
1620000US0603526,0603526,"Bakersfield city, California",347483,348119,349322,353836,358317,363998,368461,373253,376944,380874
1620000US0603666,0603666,"Baldwin Park city, California",75390,75397,75441,75834,76351,76573,76639,76726,76566,76402
1620000US0603820,0603820,"Banning city, California",29603,29594,29729,30011,30258,30479,30670,30820,31017,31230
1620000US0604030,0604030,"Barstow city, California",22639,22639,22703,22921,23036,23226,23416,23622,23823,23916
1620000US0604758,0604758,"Beaumont city, California",36877,36800,37200,38474,39277,40349,42028,43532,45228,46967
1620000US0604870,0604870,"Bell city, California",35477,35473,35494,35684,35843,35951,36000,36033,35921,35811
1620000US0604982,0604982,"Bellflower city, California",76616,76610,76630,77006,77359,77601,77778,78081,77918,77772
1620000US0604996,0604996,"Bell Gardens city, California",42072,42053,42067,42257,42724,42825,42861,42912,42872,42747
1620000US0605108,0605108,"Belmont city, California",25835,25835,25880,26199,26561,26832,27083,27265,27233,27140
1620000US0605164,0605164,"Belvedere city, California",2068,2071,2073,2093,2109,2125,2140,2135,2131,2126
1620000US0605290,0605290,"Benicia city, California",26997,26994,27029,27170,27381,27588,27853,28079,28183,28343
1620000US0606000,0606000,"Berkeley city, California",112580,112487,112893,114034,115476,117141,118925,120905,121672,122324
1620000US0606308,0606308,"Beverly Hills city, California",34109,33951,33976,34145,34362,34435,34513,34553,34592,34484
1620000US0606434,0606434,"Big Bear Lake city, California",5019,5018,5029,5073,5101,5118,5152,5196,5227,5262
1620000US0606560,0606560,"Biggs city, California",1707,1705,1706,1693,1691,1691,1693,1692,1698,1711
1620000US0606798,0606798,"Bishop city, California",3879,3879,3872,3848,3842,3838,3828,3796,3757,3760
1620000US0607162,0607162,"Blue Lake city, California",1253,1253,1254,1245,1241,1241,1239,1249,1267,1265
1620000US0607218,0607218,"Blythe city, California",20817,20779,20473,20203,20570,19784,19188,19123,19699,19630
1620000US0607946,0607946,"Bradbury city, California",1048,1048,1048,1058,1066,1077,1078,1084,1081,1093
1620000US0608058,0608058,"Brawley city, California",24953,24963,25034,25272,25561,25632,25785,25854,26163,26390
1620000US0608100,0608100,"Brea city, California",39282,39189,39425,39862,40212,40999,41379,41823,42546,42777
1620000US0608142,0608142,"Brentwood city, California",51481,51624,51823,52753,53592,55021,56978,58905,60688,62433
1620000US0608310,0608310,"Brisbane city, California",4282,4282,4291,4349,4411,4463,4614,4725,4724,4721
1620000US0608758,0608758,"Buellton city, California",4828,4849,4857,4885,4934,4997,5060,5094,5127,5135
1620000US0608786,0608786,"Buena Park city, California",80530,80613,80807,81631,82211,82916,82864,83041,83298,83015
1620000US0608954,0608954,"Burbank city, California",103340,103375,103396,103864,104331,104666,104785,104908,104599,104834
1620000US0609066,0609066,"Burlingame city, California",28806,28806,28847,29287,29695,29994,30334,30523,30502,30686
1620000US0609598,0609598,"Calabasas city, California",23058,23462,23470,23769,23882,24111,24145,24204,24186,24202
1620000US0609710,0609710,"Calexico city, California",38572,38573,38674,39014,39303,39489,39757,39971,40210,40351
1620000US0609780,0609780,"California City city, California",14120,14120,13468,12846,13369,13234,13246,13257,13721,13972
1620000US0609864,0609864,"Calimesa city, California",7879,7885,7923,8004,8104,8213,8392,8504,8630,8817
1620000US0609878,0609878,"Calipatria city, California",7705,7694,7690,7689,7995,7099,7505,7409,7517,7558
1620000US0609892,0609892,"Calistoga city, California",5155,5155,5164,5198,5224,5258,5280,5298,5303,5273
1620000US0610046,0610046,"Camarillo city, California",65201,65176,65293,65606,65807,66068,66736,67446,67468,67845
1620000US0610345,0610345,"Campbell city, California",39349,39343,39448,39841,40393,40781,41164,41150,41198,41544
1620000US0610928,0610928,"Canyon Lake city, California",10561,10561,10609,10714,10805,10887,10975,11038,11121,11223
1620000US0611040,0611040,"Capitola city, California",9918,9908,9918,9967,10018,10077,10130,10185,10197,10180
1620000US0611194,0611194,"Carlsbad city, California",105328,105569,105936,107799,109394,111154,112148,113250,113920,115330
1620000US0611250,0611250,"Carmel-by-the-Sea city, California",3722,3722,3731,3766,3807,3840,3867,3886,3903,3897
1620000US0611446,0611446,"Carpinteria city, California",13040,12997,13011,13034,13174,13498,13610,13653,13653,13622
1620000US0611530,0611530,"Carson city, California",91714,91714,91626,91792,92365,92787,92994,93104,92986,92735
1620000US0612048,0612048,"Cathedral City city, California",51200,51254,51485,52138,52576,52969,53326,53667,54094,54596
1620000US0612524,0612524,"Ceres city, California",45417,45894,45960,46154,46401,46646,47114,47658,48246,48697
1620000US0612552,0612552,"Cerritos city, California",49041,49047,49059,49282,49500,49647,49705,49745,50591,51020
1620000US0613014,0613014,"Chico city, California",86187,86730,86716,87212,87896,88358,89493,90414,91658,93293
1620000US0613210,0613210,"Chino city, California",77983,77972,78563,79547,79959,80846,84383,85282,87599,89797
1620000US0613214,0613214,"Chino Hills city, California",74799,74799,74985,75702,76163,76440,76693,78032,78652,80374
1620000US0613294,0613294,"Chowchilla city, California",18720,18782,18718,18905,18081,17390,18895,18453,18251,18558
1620000US0613392,0613392,"Chula Vista city, California",243916,243920,244693,248540,252843,257248,260561,265008,267203,270471
1620000US0613588,0613588,"Citrus Heights city, California",83301,83261,83365,83903,84489,85123,85891,86759,87380,87931
1620000US0613756,0613756,"Claremont city, California",34926,34870,34900,35217,35341,35727,35814,36076,36022,36015
1620000US0613882,0613882,"Clayton city, California",10897,10918,10961,11156,11288,11501,11689,11857,12022,12150
1620000US0613945,0613945,"Clearlake city, California",15250,15250,15268,15145,15080,15030,15072,15118,15037,15066
1620000US0614190,0614190,"Cloverdale city, California",8618,8634,8642,8678,8700,8754,8797,8823,8829,8803
1620000US0614218,0614218,"Clovis city, California",95631,95834,96261,97515,98640,99735,102056,104014,106550,109691
1620000US0614260,0614260,"Coachella city, California",40704,40724,41007,41926,42652,43057,44003,44473,44916,45443
1620000US0614274,0614274,"Coalinga city, California",13380,18079,18070,18046,16804,16733,16410,16522,16591,16766
1620000US0614498,0614498,"Colfax city, California",1963,1950,1957,1976,1988,1998,2005,1997,2003,2005
1620000US0614736,0614736,"Colma town, California",1792,1443,1445,1463,1483,1498,1511,1522,1521,1514
1620000US0614890,0614890,"Colton city, California",52154,52153,52276,52754,53028,53208,53829,54426,54632,54828
1620000US0614946,0614946,"Colusa city, California",5971,5971,5979,5948,5958,5945,5905,5892,5951,5963
1620000US0614974,0614974,"Commerce city, California",12823,12846,12849,12907,12964,13003,13015,13021,12988,12947
1620000US0615044,0615044,"Compton city, California",96455,96418,96481,97047,97576,97875,97966,98012,97710,97612
1620000US0616000,0616000,"Concord city, California",122067,122154,122521,123588,124840,126088,127346,128464,129172,129783
1620000US0616224,0616224,"Corcoran city, California",24813,24807,24453,24127,23694,23359,22841,22530,22730,21835
1620000US0616322,0616322,"Corning city, California",7663,7663,7680,7645,7616,7556,7518,7528,7546,7592
1620000US0616350,0616350,"Corona city, California",152374,152430,153193,154911,157726,159139,160838,163600,166507,167836
1620000US0616378,0616378,"Coronado city, California",18912,24702,23966,23355,23230,23384,23598,23739,25150,24417
1620000US0616462,0616462,"Corte Madera town, California",9253,9262,9272,9352,9396,9483,9931,9927,9899,9864
1620000US0616532,0616532,"Costa Mesa city, California",109960,110078,110168,111099,111819,112299,112558,112889,113018,113825
1620000US0616560,0616560,"Cotati city, California",7265,7265,7274,7308,7331,7389,7425,7447,7464,7479
1620000US0616742,0616742,"Covina city, California",47796,47792,47804,48022,48322,48484,48705,48756,48611,48462
1620000US0617022,0617022,"Crescent City city, California",7643,7640,7596,7517,7389,7166,6783,6775,6649,6399
1620000US0617498,0617498,"Cudahy city, California",23805,23809,23815,23928,24038,24113,24150,24203,24147,24076
1620000US0617568,0617568,"Culver City city, California",38883,38917,38920,39089,39321,39444,39486,39547,39436,39283
1620000US0617610,0617610,"Cupertino city, California",58302,58572,58719,59244,59915,60356,60751,60624,61016,60777
1620000US0617750,0617750,"Cypress city, California",47802,47860,47965,48445,48773,49089,49078,49150,48989,49064
1620000US0617918,0617918,"Daly City city, California",101123,101116,101293,102558,104116,105217,106163,106773,107112,107074
1620000US0617946,0617946,"Dana Point city, California",33351,33293,33347,33671,33902,34049,34032,34083,34062,33934
1620000US0617988,0617988,"Danville town, California",42039,41849,41981,42392,42846,43321,43883,44360,44756,44786
1620000US0618100,0618100,"Davis city, California",65622,65636,65590,65696,65879,66322,66691,67481,68118,68986
1620000US0618394,0618394,"Delano city, California",53041,53041,53133,53660,52481,52427,52572,52660,52752,53138
1620000US0618506,0618506,"Del Mar city, California",4161,4163,4174,4205,4244,4282,4310,4343,4363,4363
1620000US0618688,0618688,"Del Rey Oaks city, California",1624,1624,1628,1643,1661,1671,1678,1684,1689,1687
