,GEO.display-label,2010,2011,2012,2013,2014,2015,2016,2017
0,"Acalanes Ridge CDP, California",0,1.6,2.1,2.3,2,2.5,0,0
1,"Acampo CDP, California",0,0,0,0,0,0,0,0
2,"Acton CDP, California",6.3,8.3,9.7,11.7,6.9,7.6,7.4,6.8
3,"Adelanto city, California",25.6,27.7,32,33.7,38,40.3,42.2,38.5
4,"Adin CDP, California",11,7.2,10.9,3.8,4.8,12.6,12.2,31.7
5,"Agoura Hills city, California",4,4.9,5.4,7.1,7.2,5.8,6.1,7.4
6,"Agua Dulce CDP, California",4.4,3.6,2.8,2.5,5.3,6.4,7.9,8.3
7,"Aguanga CDP, California",13.8,12.5,7.5,8.5,4.7,7,7.1,2.5
8,"Ahwahnee CDP, California",0.5,1.8,1,1.1,4.5,11.7,5.1,9.9
9,"Airport CDP, California",42.1,42.8,42.5,41,41.6,37.4,36.5,34
10,"Alameda city, California",10.1,10.1,9.4,10.3,10.6,9.8,9.5,9.2
11,"Alamo CDP, California",4.7,4.6,3.2,2.3,2.5,1.9,2.3,2.5
12,"Albany city, California",8.7,8.5,10.4,10.6,10.7,11.4,10.5,9.6
13,"Albion CDP, California",12.5,51.1,47.1,50.9,45.8,43.2,18.8,30.2
14,"Alderpoint CDP, California",67.6,24.8,53.1,46.7,48.6,40.8,52.7,34.5
15,"Alhambra city, California",12.7,12.9,13.4,13.9,14.7,15.8,15.4,15.1
16,"Alhambra Valley CDP, California",0,0,0,0,0,2.2,2.2,1.8
17,"Aliso Viejo city, California",3.7,4.2,4.7,5.1,5.2,4.9,4.8,4.6
18,"Alleghany CDP, California",0,0,0,66.7,64.3,81.9,79.1,100
19,"Allendale CDP, California",4.4,6.6,5.3,4.5,4.6,3.2,1.5,0
20,"Allensworth CDP, California",44.3,45.2,54,51,52.3,49.5,52.9,44.6
21,"Almanor CDP, California",0,0,-,0,-,-,-,-
22,"Alondra Park CDP, California",18.9,17.3,20.4,20.7,20.8,23.2,16.9,18.5
23,"Alpaugh CDP, California",40.7,51.7,55.4,54.5,49.7,48,43.6,46.6
24,"Alpine CDP, California",6.4,7.7,8.1,8.1,8.2,8.8,8.8,7.4
25,"Alpine Village CDP, California",10.2,15.9,24.5,32.1,2.9,3.4,2,1.1
26,"Alta CDP, California",6.8,8.2,8.2,7.5,9.1,13.8,14.2,16.2
27,"Altadena CDP, California",9.2,9.6,9.6,10.7,11.1,11,10.8,10.6
28,"Alta Sierra CDP, California",2.1,1.3,2.2,2.1,2.7,2.5,2.7,2.9
29,"Alto CDP, California",4.3,6.9,9.7,11.8,11.5,10.9,5.4,1.5
30,"Alturas city, California",26,29.2,26.2,29.3,29.3,21.7,22,19
31,"Alum Rock CDP, California",9.7,16.3,13.4,11.7,11.1,11.4,9.1,9.3
32,"Amador City city, California",14.8,8.9,23.4,34.5,23.2,27,21.8,8.8
33,"American Canyon city, California",5.1,5.8,7.4,8.6,9.4,11.8,9.7,8.3
34,"Amesti CDP, California",7.2,6.1,6.9,9.3,11.8,12.8,14.5,13.2
35,"Anaheim city, California",13.7,14.3,15.6,16.1,16.9,16.5,16.2,16
36,"Anchor Bay CDP, California",4.4,2.8,0,0,0,0,0,7.2
37,"Anderson city, California",22.2,22.4,24.2,23.9,24.4,24.6,21.7,21.3
38,"Angels city, California",5.5,8.1,10.3,13,14.4,19,18.1,13.5
39,"Angwin CDP, California",18.3,10.5,11.3,12,11.4,11.7,10,8.5
40,"Antelope CDP, California",7.7,9.1,11.5,12.5,12.3,13,14.3,13.8
41,"Antioch city, California",13.4,14,14.5,14.9,14.7,15.4,14.3,14.6
42,"Anza CDP, California",11.7,10,16.8,11.5,11,13,17.9,16.3
43,"Apple Valley town, California",17.9,18.6,20.8,20.2,19.2,20.6,19.8,18.1
44,"Aptos CDP, California",10.8,12.7,12.2,12.3,10.7,6.4,5.9,3.6
45,"Aptos Hills-Larkin Valley CDP, California",6.3,5,6.2,8.9,10.1,10.9,16.1,14.4
46,"Arbuckle CDP, California",18.8,16.4,15.4,12,13.7,15.2,12.9,14.1
47,"Arcadia city, California",9.1,8.7,9.9,9.6,9.3,9.6,9.5,8.8
48,"Arcata city, California",28.5,31.6,33.7,34.1,37.1,41.3,40.1,37.2
49,"Arden-Arcade CDP, California",15.3,16,18.3,19.8,21.3,21.4,22.8,22
50,"Armona CDP, California",9.3,22.3,27.3,23.8,26.9,25.4,20,17.2
51,"Arnold CDP, California",6,9.2,9.1,11.7,10.3,12,9,8.8
52,"Aromas CDP, California",7,5.6,11.5,9.6,8.6,11.5,10,6.7
53,"Arroyo Grande city, California",5.9,7.2,7.2,7.4,7.4,6.8,6.5,6
54,"Artesia city, California",9.3,9.9,12.7,13.5,11.6,12.4,13.6,11.8
55,"Artois CDP, California",0,0,0,0,2.6,1.8,9.3,6.6
56,"Arvin city, California",33.1,34.9,36.3,32.7,27.9,29.3,28.4,27.5
57,"Ashland CDP, California",15.8,16.6,16.3,17,18.7,18.4,18.9,19.3
58,"Aspen Springs CDP, California",-,-,0,0,0,0,0,0
59,"Atascadero city, California",8.8,8.7,10.7,10.5,10.8,11,9.2,7.5
60,"Atherton town, California",7.1,5.1,4.9,3.6,3.9,3.8,4.5,3.5
61,"Atwater city, California",23.4,25.4,27.2,24.4,25.3,26.2,23.4,21.2
62,"Auberry CDP, California",2.8,3.4,6.5,15.7,15.8,15.1,17.6,12.6
63,"Auburn city, California",8.9,9.7,12.1,11.1,12.2,12.8,12.9,11.7
64,"Auburn Lake Trails CDP, California",5.8,6,3.5,4.1,2,2,3.8,4.1
65,"August CDP, California",38.8,40.2,45.5,40.9,44.1,39.6,36.1,36.6
66,"Avalon city, California",11.5,13.9,14,12.5,10.7,14.3,12.8,14.7
67,"Avenal city, California",37.7,40,39.1,40.4,40.6,36.4,32.8,36.3
68,"Avery CDP, California",31.5,24.8,20.9,20.3,31.2,27.5,10.9,12.5
69,"Avocado Heights CDP, California",13.3,13,15.4,14.1,12.4,12.8,11.8,10.6
70,"Azusa city, California",17.4,18.2,19.2,20.1,19.4,17.6,16.2,16.4
71,"Baker CDP, California",13,7.5,9.9,14.5,17.9,23,23.2,22.7
72,"Bakersfield city, California",17.3,18.2,19.3,20.4,20.2,19.8,19.7,19.2
73,"Baldwin Park city, California",15.9,16,17.4,17.5,17.1,16.7,16.1,14.9
74,"Ballard CDP, California",1.2,1.4,2.3,2.8,8.7,7,7.2,6.2
75,"Ballico CDP, California",6.5,12,16.7,23.2,18,26.7,33.6,30.3
76,"Bangor CDP, California",13.8,13.2,11.5,9,8,8.7,10.3,9
77,"Banning city, California",14.6,17.4,19.4,18,21.2,21.2,23.2,23.4
78,"Barstow city, California",21.4,22.2,24.3,26.2,30.2,33.7,36.7,36.4
79,"Bass Lake CDP, California",5.6,5.9,16,19.7,27.9,27.6,1.4,1.4
